usd_cleaning_fee,f_property_type,f_room_type,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type
NA,Apartment,Private room,flexible,Real Bed,Hackney,65,100,2,1.5,92,3,1,0.06,10,1,1,1467,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,65,Hackney,flexible,Private room,Apartment
NA,House,Private room,moderate,Real Bed,Hackney,30,NA,2,3,90,2,1,0.1,0,1,1,573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,30,Hackney,moderate,Private room,House
NA,Apartment,Private room,moderate,Couch,Hackney,150,100,7,1.5,97,32,1,0.55,10,2,5,1739,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,150,Hackney,moderate,Private room,Apartment
25,House,Private room,moderate,Real Bed,Hackney,29,100,2,1.5,94,52,1,2.62,0,1,1,593,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,29,Hackney,moderate,Private room,House
20,Apartment,Entire home/apt,moderate,Real Bed,Hackney,65,100,2,1,88,55,3,1.13,0,2,2,1463,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,65,Hackney,moderate,Entire home/apt,Apartment
30,Apartment,Entire home/apt,strict,Real Bed,Hackney,165,100,5,2,100,2,1,0.08,0,2,2,797,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,165,Hackney,strict,Entire home/apt,Apartment
30,Apartment,Entire home/apt,moderate,Real Bed,Hackney,95,NA,3,1,96,27,1,0.78,0,2,1,1037,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,95,Hackney,moderate,Entire home/apt,Apartment
15,House,Entire home/apt,moderate,Real Bed,Hackney,65,100,4,1,100,3,2,0.69,5,2,2,130,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,65,Hackney,moderate,Entire home/apt,House
NA,Apartment,Private room,moderate,Real Bed,Hackney,28,100,2,1,90,2,1,0.34,0,1,1,174,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,28,Hackney,moderate,Private room,Apartment
30,House,Entire home/apt,moderate,Real Bed,Hackney,156,100,6,2,NA,0,4,NA,0,1,4,NA,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,156,Hackney,moderate,Entire home/apt,House
20,Apartment,Entire home/apt,moderate,Real Bed,Hackney,95,100,5,1,100,5,5,0.25,10,5,3,600,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,95,Hackney,moderate,Entire home/apt,Apartment
NA,Apartment,Private room,moderate,Real Bed,Hackney,25,89,2,1,93,6,1,1.67,0,1,1,107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,25,Hackney,moderate,Private room,Apartment
NA,House,Entire home/apt,moderate,Real Bed,Hackney,200,NA,6,2,NA,0,1,NA,0,5,3,NA,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,200,Hackney,moderate,Entire home/apt,House
75,House,Entire home/apt,strict,Real Bed,Hackney,175,100,6,1,98,19,2,1.16,0,2,4,492,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,175,Hackney,strict,Entire home/apt,House
36,Apartment,Entire home/apt,moderate,Real Bed,Hackney,95,100,2,1,94,24,1,1.94,0,2,1,371,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,95,Hackney,moderate,Entire home/apt,Apartment
20,House,Entire home/apt,strict,Real Bed,Hackney,80,100,2,1,98,53,2,1.29,10,3,1,1230,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,80,Hackney,strict,Entire home/apt,House
10,Apartment,Private room,flexible,Real Bed,Hackney,150,NA,2,1,NA,0,1,NA,0,5,1,NA,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,150,Hackney,flexible,Private room,Apartment
NA,Apartment,Private room,flexible,Real Bed,Hackney,30,100,2,1,100,1,1,0.23,15,1,1,128,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30,Hackney,flexible,Private room,Apartment
12,Apartment,Private room,moderate,Real Bed,Hackney,29,NA,2,1,100,7,1,0.65,0,2,1,319,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,29,Hackney,moderate,Private room,Apartment
NA,Apartment,Private room,flexible,Real Bed,Hackney,40,100,2,1,NA,0,1,NA,0,2,1,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,40,Hackney,flexible,Private room,Apartment
NA,Apartment,Private room,strict,Real Bed,Hackney,38,NA,2,1,92,10,1,0.88,0,1,1,339,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,38,Hackney,strict,Private room,Apartment
NA,House,Private room,flexible,Real Bed,Hackney,30,NA,2,3,100,1,1,0.18,5,2,1,169,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30,Hackney,flexible,Private room,House
NA,Apartment,Private room,moderate,Real Bed,Hackney,110,NA,2,1.5,NA,0,1,NA,0,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,110,Hackney,moderate,Private room,Apartment
35,House,Entire home/apt,flexible,Real Bed,Hackney,190,67,4,1,96,11,4,0.26,15,2,2,1251,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,190,Hackney,flexible,Entire home/apt,House
NA,Apartment,Entire home/apt,strict,Real Bed,Hackney,71,86,6,1,NA,0,1,NA,0,4,2,NA,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,71,Hackney,strict,Entire home/apt,Apartment
NA,Apartment,Entire home/apt,strict,Real Bed,Hackney,115,100,5,1,95,4,4,0.18,20,3,2,656,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,115,Hackney,strict,Entire home/apt,Apartment
NA,House,Private room,flexible,Real Bed,Hackney,35,20,2,1,100,1,1,0.52,0,1,1,57,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,35,Hackney,flexible,Private room,House
NA,Apartment,Private room,flexible,Couch,Hackney,45,NA,2,1,NA,0,1,NA,10,1,1,NA,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45,Hackney,flexible,Private room,Apartment
48,Apartment,Entire home/apt,strict,Real Bed,Hackney,79,NA,2,1,92,10,1,0.85,0,3,1,353,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,79,Hackney,strict,Entire home/apt,Apartment
20,House,Entire home/apt,flexible,Real Bed,Hackney,85,100,2,1,NA,0,1,NA,0,2,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,85,Hackney,flexible,Entire home/apt,House
NA,House,Entire home/apt,flexible,Real Bed,Hackney,100,NA,2,1.5,100,1,1,0.04,0,1,1,742,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,100,Hackney,flexible,Entire home/apt,House
150,Apartment,Entire home/apt,strict,Real Bed,Hackney,121,96,6,1.5,NA,0,1,NA,7,1,4,NA,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,121,Hackney,strict,Entire home/apt,Apartment
20,Apartment,Entire home/apt,moderate,Real Bed,Hackney,69,100,4,1,95,73,1,1.61,0,3,2,1357,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,69,Hackney,moderate,Entire home/apt,Apartment
NA,Apartment,Private room,flexible,Real Bed,Hackney,30,NA,1,1,NA,0,1,NA,0,1,2,NA,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,30,Hackney,flexible,Private room,Apartment
NA,House,Private room,flexible,Real Bed,Hackney,60,100,3,1,100,1,1,0.48,0,4,NA,61,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,60,Hackney,flexible,Private room,House
10,Apartment,Private room,strict,Real Bed,Hackney,29,100,1,1,93,125,1,4.15,0,2,1,902,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,29,Hackney,strict,Private room,Apartment
NA,Apartment,Private room,flexible,Real Bed,Hackney,73,NA,2,1,NA,0,1,NA,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,73,Hackney,flexible,Private room,Apartment
20,Apartment,Entire home/apt,strict,Real Bed,Hackney,55,100,2,1,93,3,2,0.87,0,5,1,103,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,55,Hackney,strict,Entire home/apt,Apartment
12,House,Private room,strict,Real Bed,Hackney,66,100,2,0.5,NA,0,1,NA,8,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,66,Hackney,strict,Private room,House
15,Apartment,Private room,strict,Real Bed,Hackney,33,100,2,1.5,84,12,1,2.02,0,2,1,176,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,33,Hackney,strict,Private room,Apartment
NA,House,Private room,strict,Real Bed,Hackney,39,100,2,1.5,70,4,1,0.43,0,2,1,280,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,39,Hackney,strict,Private room,House
20,House,Entire home/apt,flexible,Real Bed,Hackney,100,100,6,1,NA,0,4,NA,20,2,4,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100,Hackney,flexible,Entire home/apt,House
36,Apartment,Entire home/apt,strict,Real Bed,Hackney,132,100,7,1.5,NA,0,1,NA,0,3,2,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,132,Hackney,strict,Entire home/apt,Apartment
28,Apartment,Entire home/apt,strict,Real Bed,Hackney,66,100,2,1,NA,0,1,NA,0,2,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,66,Hackney,strict,Entire home/apt,Apartment
40,Apartment,Entire home/apt,strict,Real Bed,Hackney,95,100,4,1,90,15,1,1.07,7,2,2,420,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,95,Hackney,strict,Entire home/apt,Apartment
15,Apartment,Private room,strict,Real Bed,Hackney,39,100,2,2,50,2,2,0.23,10,1,1,257,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,Hackney,strict,Private room,Apartment
15,Apartment,Private room,strict,Real Bed,Hackney,33,99,2,1,71,11,1,3.33,0,2,1,98,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,33,Hackney,strict,Private room,Apartment
35,Apartment,Private room,strict,Real Bed,Hackney,80,100,2,0.5,93,36,1,0.55,30,1,1,1956,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,80,Hackney,strict,Private room,Apartment
15,House,Private room,strict,Real Bed,Hackney,59,100,2,1,100,3,1,0.3,0,2,1,300,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,59,Hackney,strict,Private room,House
35,Apartment,Entire home/apt,moderate,Real Bed,Hackney,90,NA,2,1,90,4,1,0.19,0,5,1,645,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,Hackney,moderate,Entire home/apt,Apartment
15,House,Private room,flexible,Real Bed,Hackney,60,NA,2,2,NA,0,1,NA,0,1,1,NA,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,60,Hackney,flexible,Private room,House
NA,Apartment,Private room,moderate,Real Bed,Hackney,54,100,2,1,96,63,1,6.36,25,1,1,296,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,54,Hackney,moderate,Private room,Apartment
35,Apartment,Entire home/apt,strict,Real Bed,Hackney,265,100,8,3,88,23,6,0.41,20,2,5,1664,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,265,Hackney,strict,Entire home/apt,Apartment
30,House,Entire home/apt,flexible,Real Bed,Hackney,85,NA,4,1,94,10,3,1.08,10,1,2,278,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,85,Hackney,flexible,Entire home/apt,House
25,Apartment,Entire home/apt,moderate,Real Bed,Hackney,89,NA,2,1,98,8,2,0.22,10,1,1,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,89,Hackney,moderate,Entire home/apt,Apartment
15,Apartment,Private room,flexible,Real Bed,Hackney,52,100,2,1,100,16,1,5.58,0,1,1,84,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,52,Hackney,flexible,Private room,Apartment
45,House,Private room,strict,Real Bed,Hackney,55,100,2,1,92,12,2,0.92,0,3,1,389,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,55,Hackney,strict,Private room,House
NA,House,Private room,flexible,Real Bed,Hackney,20,100,1,2,NA,0,1,NA,0,1,5,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,20,Hackney,flexible,Private room,House
5,Apartment,Private room,moderate,Real Bed,Hackney,32,100,2,1,91,17,1,2.22,8,2,1,229,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,32,Hackney,moderate,Private room,Apartment
15,House,Private room,strict,Real Bed,Hackney,28,93,2,1.5,87,11,1,1.2,12,1,1,274,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,28,Hackney,strict,Private room,House
40,House,Entire home/apt,strict,Real Bed,Hackney,200,100,5,1.5,98,8,4,1.14,0,2,5,210,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,200,Hackney,strict,Entire home/apt,House
NA,Apartment,Entire home/apt,strict,Real Bed,Hackney,99,100,3,1,84,5,2,0.24,20,3,1,615,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,99,Hackney,strict,Entire home/apt,Apartment
NA,Apartment,Private room,flexible,Real Bed,Hackney,32,100,1,1,100,1,1,0.09,0,4,1,319,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,32,Hackney,flexible,Private room,Apartment
30,Apartment,Entire home/apt,strict,Real Bed,Hackney,100,100,2,1,90,2,1,0.2,30,3,1,295,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,100,Hackney,strict,Entire home/apt,Apartment
NA,House,Private room,flexible,Real Bed,Hackney,60,NA,2,1,NA,0,1,NA,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,60,Hackney,flexible,Private room,House
NA,Apartment,Private room,flexible,Real Bed,Hackney,30,100,2,1,97,6,1,0.49,0,3,1,370,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,30,Hackney,flexible,Private room,Apartment
NA,House,Entire home/apt,flexible,Real Bed,Hackney,100,NA,4,1,NA,0,2,NA,25,3,2,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100,Hackney,flexible,Entire home/apt,House
NA,Apartment,Private room,strict,Real Bed,Hackney,49,NA,2,1,100,2,1,0.09,5,7,1,686,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,49,Hackney,strict,Private room,Apartment
NA,House,Private room,flexible,Real Bed,Hackney,163,NA,1,2,NA,0,1,NA,0,1,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,163,Hackney,flexible,Private room,House
15,Apartment,Private room,strict,Real Bed,Hackney,34,100,2,1,NA,1,1,0.13,8,1,1,236,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,34,Hackney,strict,Private room,Apartment
60,Apartment,Entire home/apt,strict,Real Bed,Hackney,95,100,3,1,100,4,1,0.16,0,7,1,744,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,95,Hackney,strict,Entire home/apt,Apartment
15,House,Private room,moderate,Real Bed,Hackney,45,63,2,1,99,30,1,1.07,0,1,1,839,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,45,Hackney,moderate,Private room,House
45,House,Entire home/apt,strict,Real Bed,Hackney,150,100,5,3.5,NA,0,5,NA,20,2,3,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,150,Hackney,strict,Entire home/apt,House
145,House,Entire home/apt,strict,Real Bed,Hackney,294,98,8,2,20,1,1,0.13,0,3,3,238,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,294,Hackney,strict,Entire home/apt,House
40,Apartment,Entire home/apt,moderate,Real Bed,Hackney,50,100,3,1,100,10,2,0.26,10,4,2,1156,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,50,Hackney,moderate,Entire home/apt,Apartment
NA,House,Entire home/apt,moderate,Real Bed,Hackney,199,100,6,1.5,NA,0,1,NA,0,7,5,NA,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,199,Hackney,moderate,Entire home/apt,House
10,Apartment,Private room,strict,Real Bed,Hackney,40,100,2,1,90,2,1,2,0,1,1,20,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,40,Hackney,strict,Private room,Apartment
